"COD_VIAJE","CLIENTE","UBICACION","CANTIDAD","PILOTO","Q","CREDITO","UNIDAD","FECHA"
10000541,"BAR LA OFICINA",76001,1506,"Juan Francisco Portillo Gomez",376.5,30,"Camion Grande","03-2018"
10000542,"POLLO PINULITO/Despacho a cliente",76001,1889,"Fernando Mariano Berrio",472.25,60,"Camion Grande","03-2018"
10000543,"EL GALLO NEGRO / Despacho a cliente",76002,531,"Pedro Alvarez Parejo",132.75,90,"Camion Pequeño","03-2018"
10000544,"CHICHARRONERIA EL RICO COLESTEROL |||Faltante",76002,1037,"Angel Valdez Alegria",259.25,90,"Camion Grande","03-2018"
10000545,"POLLO PINULITO|||FALTANTE",76002,1692,"Hector Aragones Frutos",423,30,"Camion Grande","03-2018"
10000546,"UBIQUO LABS",76002,894,"Felipe Villatoro",223.5,60,"Camion Pequeño","03-2018"
10000547,"TAQUERIA EL CHINITO |||Faltante",76002,504,"Fernando Mariano Berrio",126,60,"Camion Pequeño","03-2018"
10000548,"BAR LA OFICINA",76002,665,"Hector Aragones Frutos",166.25,30,"Camion Pequeño","03-2018"
10000549,"HOSPITAL ROOSEVELT / Despacho a cliente",76001,964,"Angel Valdez Alegria",241,90,"Camion Pequeño","03-2018"
10000550,"BAR LA OFICINA",76002,743,"Pedro Alvarez Parejo",185.75,30,"Camion Pequeño","03-2018"
10000551,"EL PINCHE OBELISCO |||Faltante",76001,1193,"Ismael Rodero Monteagudo",298.25,30,"Camion Grande","03-2018"
10000552,"EL PINCHE OBELISCO |||Faltante",76002,1865,"Fernando Mariano Berrio",466.25,60,"Camion Grande","03-2018"
10000553,"HOSPITAL LAS AMERICAS",76002,1456,"Ismael Rodero Monteagudo",364,60,"Camion Grande","03-2018"
10000554,"EL GALLO NEGRO / Despacho a cliente",76001,772,"Luis Jaime Urbano",193,30,"Camion Pequeño","03-2018"
10000555,"TAQUERIA EL CHINITO",76002,385,"Juan Francisco Portillo Gomez",96.25,90,"Panel","03-2018"
10000556,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76001,591,"Fernando Mariano Berrio",147.75,30,"Camion Pequeño","03-2018"
10000557,"EL GALLO NEGRO |||DEVOLUCION",76001,1241,"Luis Jaime Urbano",310.25,90,"Camion Grande","03-2018"
10000558,"ABARROTERIA EBENEZER/Despacho a cliente",76002,794,"Angel Valdez Alegria",198.5,90,"Camion Pequeño","03-2018"
10000559,"TIENDA LA BENDICION / Despacho a cliente",76002,1944,"Ismael Rodero Monteagudo",486,60,"Camion Grande","03-2018"
10000560,"TAQUERIA EL CHINITO |||Faltante",76001,1355,"Felipe Villatoro",338.75,60,"Camion Grande","03-2018"
10000561,"SPORTA, S.A./Despacho a cliente |||Faltante",76002,474,"Angel Valdez Alegria",118.5,90,"Panel","03-2018"
10000562,"SPORTA, S.A./Despacho a cliente |||Faltante",76001,1014,"Pedro Alvarez Parejo",253.5,60,"Camion Grande","03-2018"
10000563,"HOSPITAL ROOSEVELT / Despacho a cliente",76002,906,"Felipe Villatoro",226.5,90,"Camion Pequeño","03-2018"
10000564,"POLLO PINULITO|||FALTANTE",76001,408,"Fernando Mariano Berrio",102,30,"Panel","03-2018"
10000565,"EL GALLO NEGRO / Despacho a cliente",76001,873,"Hector Giron",218.25,90,"Camion Pequeño","03-2018"
10000566,"EL GALLO NEGRO / Despacho a cliente",76002,905,"Luis Jaime Urbano",226.25,90,"Camion Pequeño","03-2018"
10000567,"TAQUERIA EL CHINITO",76001,1249,"Luis Jaime Urbano",312.25,30,"Camion Grande","03-2018"
10000568,"POLLO PINULITO/Despacho a cliente",76002,1040,"Hector Aragones Frutos",260,90,"Camion Grande","03-2018"
10000569,"EL GALLO NEGRO |||DEVOLUCION",76002,467,"Hector Aragones Frutos",116.75,30,"Panel","03-2018"
10000570,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76001,1294,"Ismael Rodero Monteagudo",323.5,30,"Camion Grande","03-2018"
10000571,"TAQUERIA EL CHINITO |||Faltante",76001,1497,"Luis Jaime Urbano",374.25,30,"Camion Grande","03-2018"
10000572,"TAQUERIA EL CHINITO",76001,1481,"Hector Giron",370.25,90,"Camion Grande","03-2018"
10000573,"EL GALLO NEGRO / Despacho a cliente",76001,1378,"Angel Valdez Alegria",344.5,90,"Camion Grande","03-2018"
10000574,"SPORTA, S.A./Despacho a cliente |||Faltante",76002,809,"Pedro Alvarez Parejo",202.25,90,"Camion Pequeño","03-2018"
10000575,"UBIQUO LABS",76001,856,"Ismael Rodero Monteagudo",214,90,"Camion Pequeño","03-2018"
10000576,"UBIQUO LABS",76001,558,"Hector Aragones Frutos",139.5,30,"Camion Pequeño","03-2018"
10000577,"TAQUERIA EL CHINITO",76002,280,"Hector Giron",70,90,"Panel","03-2018"
10000578,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76001,1049,"Angel Valdez Alegria",262.25,60,"Camion Grande","04-2018"
10000579,"POLLO PINULITO|||FALTANTE",76001,533,"Felipe Villatoro",133.25,90,"Camion Pequeño","04-2018"
10000580,"UBIQUO LABS |||FALTANTE",76002,1788,"Hector Giron",447,90,"Camion Grande","04-2018"
10000581,"CHICHARRONERIA EL RICO COLESTEROL |||Faltante",76001,1987,"Luis Jaime Urbano",496.75,60,"Camion Grande","04-2018"
10000582,"CHICHARRONERIA EL RICO COLESTEROL |||Faltante",76002,649,"Felipe Villatoro",162.25,30,"Camion Pequeño","04-2018"
10000583,"HOSPITAL LAS AMERICAS",76002,924,"Hector Aragones Frutos",231,30,"Camion Pequeño","04-2018"
10000584,"UBIQUO LABS |||FALTANTE",76002,1086,"Ismael Rodero Monteagudo",271.5,90,"Camion Grande","04-2018"
10000585,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76002,1505,"Angel Valdez Alegria",376.25,30,"Camion Grande","04-2018"
10000586,"ABARROTERIA EBENEZER/Despacho a cliente",76001,1532,"Luis Jaime Urbano",383,90,"Camion Grande","04-2018"
10000587,"EL PINCHE OBELISCO |||Faltante",76002,502,"Pedro Alvarez Parejo",125.5,90,"Camion Pequeño","04-2018"
10000588,"BAR LA OFICINA",76001,1108,"Hector Giron",277,90,"Camion Grande","04-2018"
10000589,"EL PINCHE OBELISCO / Despacho a cliente",76001,1197,"Luis Jaime Urbano",299.25,90,"Camion Grande","04-2018"
10000590,"TIENDA LA BENDICION / Despacho a cliente",76002,761,"Fernando Mariano Berrio",190.25,30,"Camion Pequeño","04-2018"
10000591,"ABARROTERIA EBENEZER/Despacho a cliente",76001,1274,"Hector Giron",318.5,30,"Camion Grande","04-2018"
10000592,"TAQUERIA EL CHINITO |||Faltante",76001,826,"Pedro Alvarez Parejo",206.5,30,"Camion Pequeño","04-2018"
10000593,"UBIQUO LABS |||FALTANTE",76001,485,"Hector Aragones Frutos",121.25,60,"Panel","04-2018"
10000594,"EL GALLO NEGRO |||DEVOLUCION",76001,311,"Pedro Alvarez Parejo",77.75,90,"Panel","04-2018"
10000595,"TAQUERIA EL CHINITO",76002,1457,"Pedro Alvarez Parejo",364.25,60,"Camion Grande","04-2018"
10000596,"UBIQUO LABS",76001,410,"Luis Jaime Urbano",102.5,30,"Panel","04-2018"
10000597,"POLLO PINULITO/Despacho a cliente",76002,1679,"Fernando Mariano Berrio",419.75,90,"Camion Grande","04-2018"
10000598,"EL PINCHE OBELISCO |||Faltante",76002,700,"Pedro Alvarez Parejo",175,60,"Camion Pequeño","04-2018"
10000599,"HOSPITAL LAS AMERICAS",76002,809,"Pedro Alvarez Parejo",202.25,60,"Camion Pequeño","04-2018"
10000600,"POLLO PINULITO/Despacho a cliente",76002,529,"Pedro Alvarez Parejo",132.25,90,"Camion Pequeño","04-2018"
10000601,"EL PINCHE OBELISCO |||Faltante",76001,1078,"Hector Aragones Frutos",269.5,90,"Camion Grande","04-2018"
10000602,"CHICHARRONERIA EL RICO COLESTEROL |||Faltante",76001,1086,"Angel Valdez Alegria",271.5,60,"Camion Grande","04-2018"
10000603,"EL PINCHE OBELISCO |||Faltante",76001,465,"Felipe Villatoro",116.25,90,"Panel","04-2018"
10000604,"UBIQUO LABS",76001,291,"Hector Aragones Frutos",72.75,30,"Panel","04-2018"
10000605,"UBIQUO LABS |||FALTANTE",76001,1684,"Hector Giron",421,60,"Camion Grande","04-2018"
10000606,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76002,455,"Ismael Rodero Monteagudo",113.75,60,"Panel","04-2018"
10000607,"BAR LA OFICINA",76001,1131,"Pedro Alvarez Parejo",282.75,60,"Camion Grande","04-2018"
10000608,"HOSPITAL LAS AMERICAS",76002,1104,"Felipe Villatoro",276,90,"Camion Grande","04-2018"
10000609,"HOSPITAL LAS AMERICAS",76001,1827,"Hector Giron",456.75,90,"Camion Grande","04-2018"
10000610,"TAQUERIA EL CHINITO",76001,504,"Ismael Rodero Monteagudo",126,30,"Camion Pequeño","04-2018"
10000611,"ABARROTERIA EBENEZER/Despacho a cliente",76001,1016,"Felipe Villatoro",254,60,"Camion Grande","04-2018"
10000612,"SPORTA, S.A./Despacho a cliente |||Faltante",76001,461,"Angel Valdez Alegria",115.25,90,"Panel","04-2018"
10000613,"POLLO PINULITO/Despacho a cliente",76001,1368,"Hector Giron",342,30,"Camion Grande","04-2018"
10000614,"EL PINCHE OBELISCO / Despacho a cliente",76001,1049,"Pedro Alvarez Parejo",262.25,60,"Camion Grande","04-2018"
10000615,"SPORTA, S.A./Despacho a cliente |||Faltante",76002,718,"Fernando Mariano Berrio",179.5,60,"Camion Pequeño","04-2018"
10000616,"EL GALLO NEGRO |||DEVOLUCION",76001,1317,"Angel Valdez Alegria",329.25,90,"Camion Grande","04-2018"
10000617,"UBIQUO LABS |||FALTANTE",76002,1945,"Fernando Mariano Berrio",486.25,90,"Camion Grande","04-2018"
10000618,"UBIQUO LABS",76001,247,"Hector Giron",61.75,30,"Panel","04-2018"
10000619,"BAR LA OFICINA",76001,980,"Hector Giron",245,90,"Camion Pequeño","04-2018"
10000620,"BAR LA OFICINA",76002,326,"Juan Francisco Portillo Gomez",81.5,60,"Panel","04-2018"
10000621,"POLLO PINULITO|||FALTANTE",76002,1956,"Pedro Alvarez Parejo",489,30,"Camion Grande","04-2018"
10000622,"POLLO PINULITO/Despacho a cliente",76002,902,"Fernando Mariano Berrio",225.5,60,"Camion Pequeño","04-2018"
10000623,"TIENDA LA BENDICION / Despacho a cliente",76001,1147,"Angel Valdez Alegria",286.75,60,"Camion Grande","04-2018"
10000624,"TAQUERIA EL CHINITO",76002,539,"Luis Jaime Urbano",134.75,90,"Camion Pequeño","04-2018"
10000625,"POLLO PINULITO/Despacho a cliente",76002,1113,"Angel Valdez Alegria",278.25,60,"Camion Grande","04-2018"
10000626,"UBIQUO LABS |||FALTANTE",76001,1103,"Pedro Alvarez Parejo",275.75,90,"Camion Grande","04-2018"
10000627,"UBIQUO LABS",76001,303,"Luis Jaime Urbano",75.75,60,"Panel","04-2018"
10000628,"CHICHARRONERIA EL RICO COLESTEROL |||Faltante",76001,1546,"Fernando Mariano Berrio",386.5,60,"Camion Grande","04-2018"
10000629,"HOSPITAL ROOSEVELT / Despacho a cliente",76002,294,"Pedro Alvarez Parejo",73.5,90,"Panel","04-2018"
10000630,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76001,1694,"Fernando Mariano Berrio",423.5,30,"Camion Grande","04-2018"
10000631,"SPORTA, S.A./Despacho a cliente |||Faltante",76001,1416,"Hector Giron",354,60,"Camion Grande","04-2018"
10000632,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76002,1481,"Hector Aragones Frutos",370.25,30,"Camion Grande","04-2018"
10000633,"POLLO PINULITO|||FALTANTE",76001,1838,"Luis Jaime Urbano",459.5,60,"Camion Grande","04-2018"
10000634,"POLLO PINULITO/Despacho a cliente",76002,1487,"Luis Jaime Urbano",371.75,60,"Camion Grande","04-2018"
10000635,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76001,1074,"Hector Aragones Frutos",268.5,90,"Camion Grande","04-2018"
10000636,"ABARROTERIA EBENEZER/Despacho a cliente",76001,1741,"Hector Aragones Frutos",435.25,60,"Camion Grande","04-2018"
10000637,"EL GALLO NEGRO |||DEVOLUCION",76002,1458,"Hector Aragones Frutos",364.5,60,"Camion Grande","04-2018"
10000638,"POLLO PINULITO/Despacho a cliente",76001,813,"Fernando Mariano Berrio",203.25,90,"Camion Pequeño","04-2018"
10000639,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76001,856,"Luis Jaime Urbano",214,60,"Camion Pequeño","04-2018"
10000640,"ABARROTERIA EBENEZER/Despacho a cliente",76002,650,"Felipe Villatoro",162.5,30,"Camion Pequeño","04-2018"
10000641,"BAR LA OFICINA",76002,567,"Angel Valdez Alegria",141.75,30,"Camion Pequeño","04-2018"
10000642,"EL GALLO NEGRO / Despacho a cliente",76001,1256,"Hector Aragones Frutos",314,30,"Camion Grande","04-2018"
10000643,"TAQUERIA EL CHINITO |||Faltante",76001,218,"Luis Jaime Urbano",54.5,90,"Panel","04-2018"
10000644,"TAQUERIA EL CHINITO",76001,867,"Pedro Alvarez Parejo",216.75,30,"Camion Pequeño","04-2018"
10000645,"CHICHARRONERIA EL RICO COLESTEROL |||Faltante",76001,913,"Ismael Rodero Monteagudo",228.25,60,"Camion Pequeño","04-2018"
10000646,"UBIQUO LABS",76002,1512,"Angel Valdez Alegria",378,60,"Camion Grande","04-2018"
10000647,"BAR LA OFICINA",76002,203,"Hector Giron",50.75,90,"Panel","04-2018"
10000648,"EL GALLO NEGRO |||DEVOLUCION",76001,1012,"Angel Valdez Alegria",253,60,"Camion Grande","04-2018"
10000649,"HOSPITAL ROOSEVELT / Despacho a cliente",76001,1122,"Hector Aragones Frutos",280.5,30,"Camion Grande","04-2018"
10000650,"EL GALLO NEGRO |||DEVOLUCION",76002,1880,"Hector Giron",470,90,"Camion Grande","04-2018"
10000651,"UBIQUO LABS",76002,751,"Angel Valdez Alegria",187.75,60,"Camion Pequeño","04-2018"
10000652,"UBIQUO LABS |||FALTANTE",76001,1886,"Pedro Alvarez Parejo",471.5,60,"Camion Grande","04-2018"
10000653,"UBIQUO LABS",76002,363,"Hector Giron",90.75,90,"Panel","04-2018"
10000654,"ABARROTERIA EBENEZER/Despacho a cliente",76001,566,"Juan Francisco Portillo Gomez",141.5,30,"Camion Pequeño","04-2018"
10000655,"EL PINCHE OBELISCO / Despacho a cliente",76002,1330,"Felipe Villatoro",332.5,90,"Camion Grande","04-2018"
10000656,"POLLO PINULITO/Despacho a cliente",76002,1385,"Juan Francisco Portillo Gomez",346.25,90,"Camion Grande","04-2018"
10000657,"HOSPITAL ROOSEVELT / Despacho a cliente",76002,1880,"Luis Jaime Urbano",470,90,"Camion Grande","04-2018"
10000658,"EL GALLO NEGRO |||DEVOLUCION",76002,1704,"Angel Valdez Alegria",426,90,"Camion Grande","04-2018"
10000659,"ABARROTERIA EBENEZER/Despacho a cliente",76002,214,"Ismael Rodero Monteagudo",53.5,60,"Panel","04-2018"
10000660,"HOSPITAL ROOSEVELT / Despacho a cliente",76001,665,"Fernando Mariano Berrio",166.25,60,"Camion Pequeño","04-2018"
10000661,"SPORTA, S.A./Despacho a cliente |||Faltante",76001,1950,"Hector Aragones Frutos",487.5,90,"Camion Grande","04-2018"
10000662,"HOSPITAL ROOSEVELT / Despacho a cliente",76002,500,"Angel Valdez Alegria",125,90,"Panel","04-2018"
10000663,"EL GALLO NEGRO / Despacho a cliente",76002,990,"Hector Giron",247.5,90,"Camion Pequeño","04-2018"
10000664,"TAQUERIA EL CHINITO",76002,1551,"Hector Aragones Frutos",387.75,30,"Camion Grande","04-2018"
10000665,"UBIQUO LABS",76002,613,"Fernando Mariano Berrio",153.25,60,"Camion Pequeño","04-2018"
10000666,"SPORTA, S.A./Despacho a cliente |||Faltante",76001,1571,"Fernando Mariano Berrio",392.75,60,"Camion Grande","04-2018"
10000667,"EL GALLO NEGRO / Despacho a cliente",76001,794,"Fernando Mariano Berrio",198.5,60,"Camion Pequeño","04-2018"
10000668,"UBIQUO LABS",76002,1707,"Felipe Villatoro",426.75,60,"Camion Grande","04-2018"
10000669,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76002,1343,"Hector Giron",335.75,60,"Camion Grande","04-2018"
10000670,"EL PINCHE OBELISCO |||Faltante",76002,1022,"Hector Giron",255.5,90,"Camion Grande","04-2018"
10000671,"EL PINCHE OBELISCO |||Faltante",76002,413,"Ismael Rodero Monteagudo",103.25,60,"Panel","04-2018"
10000672,"TAQUERIA EL CHINITO |||Faltante",76002,690,"Angel Valdez Alegria",172.5,90,"Camion Pequeño","04-2018"
10000673,"TAQUERIA EL CHINITO",76002,576,"Pedro Alvarez Parejo",144,30,"Camion Pequeño","04-2018"
10000674,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76002,769,"Juan Francisco Portillo Gomez",192.25,60,"Camion Pequeño","04-2018"
10000675,"EL PINCHE OBELISCO |||Faltante",76002,735,"Pedro Alvarez Parejo",183.75,30,"Camion Pequeño","04-2018"
10000676,"SPORTA, S.A./Despacho a cliente |||Faltante",76002,578,"Fernando Mariano Berrio",144.5,30,"Camion Pequeño","04-2018"
10000677,"HOSPITAL LAS AMERICAS",76002,1126,"Juan Francisco Portillo Gomez",281.5,30,"Camion Grande","04-2018"
10000678,"EL GALLO NEGRO / Despacho a cliente",76002,907,"Hector Giron",226.75,90,"Camion Pequeño","04-2018"
10000679,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76001,1842,"Fernando Mariano Berrio",460.5,90,"Camion Grande","04-2018"
10000680,"EL PINCHE OBELISCO / Despacho a cliente",76002,651,"Hector Giron",162.75,90,"Camion Pequeño","04-2018"
10000681,"UBIQUO LABS",76001,701,"Fernando Mariano Berrio",175.25,90,"Camion Pequeño","04-2018"
10000682,"UBIQUO LABS",76002,733,"Luis Jaime Urbano",183.25,60,"Camion Pequeño","04-2018"
10000683,"CHICHARRONERIA EL RICO COLESTEROL |||Faltante",76002,1571,"Hector Aragones Frutos",392.75,60,"Camion Grande","04-2018"
10000684,"ABARROTERIA EBENEZER/Despacho a cliente",76002,405,"Hector Aragones Frutos",101.25,30,"Panel","04-2018"
10000685,"EL PINCHE OBELISCO |||Faltante",76001,872,"Angel Valdez Alegria",218,30,"Camion Pequeño","04-2018"
10000686,"POLLO PINULITO/Despacho a cliente",76001,1167,"Fernando Mariano Berrio",291.75,60,"Camion Grande","04-2018"
10000687,"EL GALLO NEGRO |||DEVOLUCION",76002,1867,"Ismael Rodero Monteagudo",466.75,60,"Camion Grande","04-2018"
10000688,"EL PINCHE OBELISCO / Despacho a cliente",76002,1975,"Pedro Alvarez Parejo",493.75,30,"Camion Grande","04-2018"
10000689,"SPORTA, S.A./Despacho a cliente |||Faltante",76001,900,"Ismael Rodero Monteagudo",225,60,"Camion Pequeño","04-2018"
10000690,"EL GALLO NEGRO |||DEVOLUCION",76001,1400,"Juan Francisco Portillo Gomez",350,30,"Camion Grande","04-2018"
10000691,"EL GALLO NEGRO / Despacho a cliente",76002,272,"Pedro Alvarez Parejo",68,90,"Panel","04-2018"
10000692,"TAQUERIA EL CHINITO |||Faltante",76002,358,"Juan Francisco Portillo Gomez",89.5,60,"Panel","04-2018"
10000693,"UBIQUO LABS",76002,1951,"Juan Francisco Portillo Gomez",487.75,60,"Camion Grande","04-2018"
10000694,"EL GALLO NEGRO / Despacho a cliente",76002,807,"Hector Aragones Frutos",201.75,30,"Camion Pequeño","04-2018"
10000695,"HOSPITAL ROOSEVELT / Despacho a cliente",76002,1748,"Angel Valdez Alegria",437,30,"Camion Grande","04-2018"
10000696,"EL PINCHE OBELISCO |||Faltante",76001,1485,"Hector Aragones Frutos",371.25,60,"Camion Grande","04-2018"
10000697,"EL PINCHE OBELISCO / Despacho a cliente",76002,1150,"Ismael Rodero Monteagudo",287.5,60,"Camion Grande","04-2018"
10000698,"ABARROTERIA EBENEZER/Despacho a cliente",76002,215,"Angel Valdez Alegria",53.75,90,"Panel","04-2018"
10000699,"EL PINCHE OBELISCO / Despacho a cliente",76001,359,"Hector Giron",89.75,60,"Panel","04-2018"
10000700,"EL PINCHE OBELISCO / Despacho a cliente",76001,856,"Fernando Mariano Berrio",214,60,"Camion Pequeño","04-2018"
10000701,"HOSPITAL ROOSEVELT / Despacho a cliente",76001,298,"Angel Valdez Alegria",74.5,90,"Panel","04-2018"
10000702,"POLLO PINULITO/Despacho a cliente",76002,918,"Ismael Rodero Monteagudo",229.5,60,"Camion Pequeño","04-2018"
10000703,"POLLO PINULITO/Despacho a cliente",76002,1093,"Juan Francisco Portillo Gomez",273.25,60,"Camion Grande","04-2018"
10000704,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76001,1713,"Juan Francisco Portillo Gomez",428.25,30,"Camion Grande","04-2018"
10000705,"EL GALLO NEGRO |||DEVOLUCION",76001,1763,"Angel Valdez Alegria",440.75,60,"Camion Grande","04-2018"
10000706,"BAR LA OFICINA",76002,1809,"Felipe Villatoro",452.25,30,"Camion Grande","04-2018"
10000707,"TAQUERIA EL CHINITO |||Faltante",76001,1349,"Ismael Rodero Monteagudo",337.25,90,"Camion Grande","04-2018"
10000708,"EL GALLO NEGRO / Despacho a cliente",76002,511,"Fernando Mariano Berrio",127.75,30,"Camion Pequeño","04-2018"
10000709,"POLLO PINULITO/Despacho a cliente",76001,718,"Felipe Villatoro",179.5,30,"Camion Pequeño","04-2018"
10000710,"BAR LA OFICINA",76001,930,"Felipe Villatoro",232.5,60,"Camion Pequeño","04-2018"
10000711,"UBIQUO LABS",76001,272,"Fernando Mariano Berrio",68,30,"Panel","04-2018"
10000712,"EL PINCHE OBELISCO / Despacho a cliente",76001,1804,"Pedro Alvarez Parejo",451,30,"Camion Grande","04-2018"
10000713,"EL GALLO NEGRO |||DEVOLUCION",76001,1373,"Fernando Mariano Berrio",343.25,30,"Camion Grande","04-2018"
10000714,"EL GALLO NEGRO |||DEVOLUCION",76001,800,"Felipe Villatoro",200,60,"Camion Pequeño","04-2018"
10000715,"CHICHARRONERIA EL RICO COLESTEROL |||Faltante",76001,1638,"Pedro Alvarez Parejo",409.5,60,"Camion Grande","04-2018"
10000716,"CHICHARRONERIA EL RICO COLESTEROL |||Faltante",76002,591,"Angel Valdez Alegria",147.75,30,"Camion Pequeño","04-2018"
10000717,"BAR LA OFICINA",76002,823,"Juan Francisco Portillo Gomez",205.75,90,"Camion Pequeño","04-2018"
10000718,"SPORTA, S.A./Despacho a cliente |||Faltante",76001,1302,"Angel Valdez Alegria",325.5,30,"Camion Grande","04-2018"
10000719,"TIENDA LA BENDICION / Despacho a cliente",76002,889,"Pedro Alvarez Parejo",222.25,90,"Camion Pequeño","04-2018"
10000720,"BAR LA OFICINA",76002,1496,"Fernando Mariano Berrio",374,60,"Camion Grande","04-2018"
10000721,"CHICHARRONERIA EL RICO COLESTEROL |||Faltante",76001,1394,"Hector Aragones Frutos",348.5,60,"Camion Grande","04-2018"
10000722,"SPORTA, S.A./Despacho a cliente |||Faltante",76002,1905,"Hector Aragones Frutos",476.25,90,"Camion Grande","04-2018"
10000723,"TIENDA LA BENDICION / Despacho a cliente",76002,218,"Luis Jaime Urbano",54.5,60,"Panel","04-2018"
10000724,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76001,1445,"Ismael Rodero Monteagudo",361.25,90,"Camion Grande","04-2018"
10000725,"POLLO PINULITO|||FALTANTE",76002,1581,"Ismael Rodero Monteagudo",395.25,90,"Camion Grande","04-2018"
10000726,"TAQUERIA EL CHINITO",76001,1407,"Fernando Mariano Berrio",351.75,90,"Camion Grande","04-2018"
10000727,"SPORTA, S.A./Despacho a cliente |||Faltante",76001,557,"Felipe Villatoro",139.25,90,"Camion Pequeño","04-2018"
10000728,"UBIQUO LABS",76002,1636,"Luis Jaime Urbano",409,30,"Camion Grande","04-2018"
10000729,"CHICHARRONERIA EL RICO COLESTEROL |||Faltante",76001,1784,"Hector Giron",446,60,"Camion Grande","04-2018"
10000730,"UBIQUO LABS",76001,718,"Hector Aragones Frutos",179.5,30,"Camion Pequeño","04-2018"
10000731,"EL PINCHE OBELISCO |||Faltante",76001,257,"Hector Aragones Frutos",64.25,60,"Panel","04-2018"
10000732,"UBIQUO LABS",76001,425,"Fernando Mariano Berrio",106.25,90,"Panel","04-2018"
10000733,"EL GALLO NEGRO / Despacho a cliente",76001,685,"Hector Aragones Frutos",171.25,90,"Camion Pequeño","04-2018"
10000734,"UBIQUO LABS",76001,861,"Luis Jaime Urbano",215.25,60,"Camion Pequeño","04-2018"
10000735,"POLLO PINULITO/Despacho a cliente",76002,1024,"Hector Giron",256,30,"Camion Grande","04-2018"
10000736,"EL GALLO NEGRO |||DEVOLUCION",76001,1180,"Hector Aragones Frutos",295,30,"Camion Grande","04-2018"
10000737,"SPORTA, S.A./Despacho a cliente |||Faltante",76001,1595,"Felipe Villatoro",398.75,30,"Camion Grande","04-2018"
10000738,"EL GALLO NEGRO |||DEVOLUCION",76001,237,"Angel Valdez Alegria",59.25,90,"Panel","04-2018"
10000739,"HOSPITAL ROOSEVELT / Despacho a cliente",76001,227,"Luis Jaime Urbano",56.75,90,"Panel","04-2018"
10000740,"HOSPITAL ROOSEVELT / Despacho a cliente",76001,1695,"Juan Francisco Portillo Gomez",423.75,30,"Camion Grande","04-2018"
10000741,"CHICHARRONERIA EL RICO COLESTEROL |||Faltante",76001,1666,"Felipe Villatoro",416.5,90,"Camion Grande","04-2018"
10000742,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76001,914,"Hector Giron",228.5,60,"Camion Pequeño","04-2018"
10000743,"POLLO PINULITO|||FALTANTE",76001,1168,"Felipe Villatoro",292,60,"Camion Grande","04-2018"
10000744,"UBIQUO LABS |||FALTANTE",76001,1958,"Ismael Rodero Monteagudo",489.5,60,"Camion Grande","04-2018"
10000745,"EL PINCHE OBELISCO / Despacho a cliente",76001,318,"Fernando Mariano Berrio",79.5,30,"Panel","04-2018"
10000746,"BAR LA OFICINA",76002,1637,"Juan Francisco Portillo Gomez",409.25,30,"Camion Grande","04-2018"
10000747,"ABARROTERIA EBENEZER/Despacho a cliente",76001,923,"Ismael Rodero Monteagudo",230.75,60,"Camion Pequeño","04-2018"
10000748,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76001,1346,"Luis Jaime Urbano",336.5,30,"Camion Grande","04-2018"
10000749,"HOSPITAL LAS AMERICAS",76002,817,"Luis Jaime Urbano",204.25,90,"Camion Pequeño","04-2018"
10000750,"UBIQUO LABS |||FALTANTE",76001,1948,"Hector Aragones Frutos",487,90,"Camion Grande","04-2018"
10000751,"POLLO PINULITO/Despacho a cliente",76001,1293,"Hector Aragones Frutos",323.25,30,"Camion Grande","04-2018"
10000752,"CHICHARRONERIA EL RICO COLESTEROL |||Faltante",76001,300,"Hector Aragones Frutos",75,30,"Panel","04-2018"
10000753,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76001,1908,"Hector Giron",477,30,"Camion Grande","04-2018"
10000754,"TAQUERIA EL CHINITO |||Faltante",76002,946,"Luis Jaime Urbano",236.5,60,"Camion Pequeño","04-2018"
10000755,"TAQUERIA EL CHINITO",76002,1494,"Fernando Mariano Berrio",373.5,30,"Camion Grande","04-2018"
10000756,"TAQUERIA EL CHINITO |||Faltante",76001,269,"Angel Valdez Alegria",67.25,90,"Panel","04-2018"
10000757,"BAR LA OFICINA",76002,1608,"Fernando Mariano Berrio",402,60,"Camion Grande","04-2018"
